,排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
203,204,量子通信,BK0710,1855.32,3.89,0.21,1051891184000,3.11,26,21,科大讯飞,5.84
204,205,专精特新,BK1005,971.81,2.0,0.21,3879323120000,3.01,265,263,云创数据,29.96
205,206,茅指数,BK0999,746.61,1.44,0.19,13274433024000,0.92,22,20,金山办公,8.64
206,207,贬值受益,BK0812,1065.22,2.05,0.19,1552683552000,1.49,64,58,欧陆通,12.44
207,208,预制菜概念,BK1025,1182.52,2.17,0.18,726968720000,0.86,23,16,西安饮食,2.94
208,209,钛白粉,BK0805,1354.53,2.41,0.18,191092829000,0.93,6,6,坤彩科技,5.32
209,210,空气能热泵,BK1102,993.21,1.64,0.17,848542688000,1.02,15,13,拓邦股份,3.88
210,211,QFII重仓,BK0535,15856.92,24.14,0.15,6772853248000,1.15,129,147,兆威机电,10.0
211,212,成渝特区,BK0534,17069.54,24.1,0.14,2679211136000,1.31,45,37,四川长虹,9.97
212,213,建筑节能,BK1076,934.12,1.3,0.14,202180534000,1.86,11,14,甘咨询,10.04
213,214,高送转,BK0723,3208.01,4.25,0.13,1480737856000,3.48,71,59,软通动力,17.91
214,215,乳业,BK0892,1166.55,1.33,0.11,541073088000,0.94,19,10,天润乳业,3.3
215,216,核污染防治,BK0983,1157.19,1.27,0.11,307923808000,0.71,8,13,华盛昌,2.36
216,217,北京冬奥,BK0717,768.5,0.77,0.1,1360074640000,1.77,31,44,同方股份,9.97
217,218,预盈预增,BK0571,4158.26,4.13,0.1,22677128704000,1.54,607,638,国光电器,10.02
218,219,长江三角,BK0594,2188.32,2.04,0.09,8209535232000,1.35,186,206,联络互动,6.85
219,220,口罩,BK0911,1473.69,1.32,0.09,2522028912000,1.55,67,87,甘咨询,10.04
220,221,RCEP概念,BK0962,1123.45,1.0,0.09,220017863000,0.89,8,14,欧陆通,12.44
221,222,科创板做市股,BK1108,1010.82,0.79,0.08,1753992240000,1.19,19,23,金山办公,8.64
222,223,EDA概念,BK0946,1089.14,0.84,0.08,307969008000,2.94,6,8,广立微,5.93
223,224,垃圾分类,BK0873,1220.15,0.91,0.07,737720624000,1.16,41,50,三联虹普,5.3
224,225,超导概念,BK0679,2736.33,2.04,0.07,187751072000,2.58,5,6,中天科技,3.67
225,226,转基因,BK0907,1661.72,1.22,0.07,148677772000,1.45,4,8,芭田股份,3.56
226,227,风能,BK0595,1833.7,1.3,0.07,4795422720000,0.84,87,94,银星能源,10.02
227,228,参股券商,BK0514,11937.42,8.23,0.07,4413981696000,1.06,59,76,同方股份,9.97
228,229,婴童概念,BK0664,1452.64,0.93,0.06,1337096640000,2.31,67,67,汤姆猫,7.18
229,230,融资融券,BK0596,2121.46,1.32,0.06,86032048128000,1.11,1418,1669,鸿博股份,10.03
230,231,基本金属,BK0561,22415.94,13.12,0.06,1358545872000,0.85,20,22,凌钢股份,4.26
231,232,国产芯片,BK0891,2662.07,1.39,0.05,8165412864000,3.25,146,185,三六零,10.03
232,233,光刻胶,BK0884,2278.44,1.16,0.05,468484320000,4.16,19,26,宝通科技,5.77
233,234,共享经济,BK0807,956.97,0.44,0.05,281290672000,1.45,9,7,姚记科技,5.15
234,235,绿色电力,BK1024,1000.88,0.44,0.04,2951347600000,0.7,41,56,银星能源,10.02
235,236,抗菌面料,BK1116,1094.23,0.46,0.04,75839748000,1.14,5,7,蒙泰高新,3.42
236,237,汽车一体化压铸,BK1093,1041.41,0.43,0.04,190250738000,1.31,11,5,宗申动力,1.99
237,238,沪企改革,BK0672,2080.56,0.75,0.04,853871024000,0.7,17,20,光大嘉宝,6.54
238,239,中证500,BK0701,1996.17,0.7,0.04,12915772160000,1.2,198,274,大悦城,10.08
239,240,钠离子电池,BK0988,1516.54,0.46,0.03,1860481536000,1.51,25,22,拓邦股份,3.88
240,241,富时罗素,BK0867,1455.07,0.43,0.03,60573151744000,0.96,543,709,三六零,10.03
241,242,送转预期,BK0633,1834.34,0.49,0.03,1487549088000,2.59,15,20,ST中利,5.01
242,243,社保重仓,BK0520,11118.04,2.38,0.02,553230432000,1.77,16,21,国能日新,9.29
243,244,轮毂电机,BK1099,843.04,0.13,0.02,61192133000,1.29,5,3,圣龙股份,1.55
244,245,新材料,BK0523,24437.83,2.9,0.01,4652420864000,1.36,143,159,中石科技,7.42
245,246,机构重仓,BK0552,12987.48,1.47,0.01,18887738112000,0.77,435,523,鸿博股份,10.03
246,247,超级品牌,BK0811,2424.25,0.19,0.01,7016507904000,0.62,17,11,青岛啤酒,2.08
247,248,百元股,BK1059,789.02,0.01,0.0,11998696960000,1.66,71,98,景嘉微,11.81
248,249,昨日触板,BK0817,2.35,0.0,0.0,190546281000,6.69,10,11,ST信通,5.0
249,250,抗原检测,BK1117,897.84,-0.04,0.0,772753552000,1.87,22,32,华大基因,6.26
250,251,免税概念,BK0927,1251.6,-0.08,-0.01,1246279296000,0.78,14,16,海南机场,4.59
251,252,蝗虫防治,BK0934,1525.15,-0.11,-0.01,145964429000,1.43,8,8,蓝丰生化,3.33
252,253,C2M概念,BK0955,1132.06,-0.09,-0.01,303330352000,1.14,13,20,汉得信息,4.17
253,254,雄安新区,BK0813,857.85,-0.1,-0.01,2489907584000,1.44,63,85,常山北明,9.96
254,255,食品安全,BK0614,5618.38,-0.97,-0.02,397081088000,1.83,17,20,石基信息,4.39
255,256,杭州亚运会,BK1067,1053.44,-0.23,-0.02,445881760000,2.29,17,23,勤上股份,4.3
256,257,氢能源,BK0864,1112.47,-0.27,-0.02,4300720640000,0.9,72,96,欧陆通,12.44
257,258,军工,BK0490,53902.32,-13.89,-0.03,5955820032000,2.14,214,250,同方股份,9.97
258,259,磁悬浮概念,BK0975,1427.17,-0.43,-0.03,692425984000,1.66,13,14,四川长虹,9.97
259,260,汽车拆解,BK0943,977.04,-0.34,-0.03,186512025000,0.77,7,9,杭钢股份,1.98
260,261,参股保险,BK0604,2301.29,-0.84,-0.04,4662707200000,0.48,32,57,巨人网络,9.98
261,262,白酒,BK0896,2729.38,-1.0,-0.04,4825785600000,0.83,19,25,豫园股份,4.25
262,263,基因测序,BK0693,2127.36,-0.79,-0.04,906128992000,2.17,21,32,兰卫医学,12.9
263,264,抽水蓄能,BK1003,1158.2,-0.56,-0.05,959413376000,0.78,13,14,申菱环境,3.82
264,265,宁组合,BK1000,659.18,-0.34,-0.05,4394026240000,0.94,11,13,科沃斯,3.17
265,266,注册制次新股,BK0971,913.89,-0.6,-0.07,2495476048000,8.27,103,135,智立方,10.11
266,267,新零售,BK0825,907.05,-0.6,-0.07,2481910832000,1.08,48,62,石基信息,4.39
267,268,毫米波概念,BK1124,1158.77,-0.78,-0.07,295055776000,4.06,12,16,中石科技,7.42
268,269,转债标的,BK0528,9349.54,-6.67,-0.07,9265262080000,1.09,206,266,特发信息,9.81
269,270,东北振兴,BK0838,1022.02,-0.74,-0.07,690892080000,1.26,23,36,东软集团,5.22
270,271,PCB,BK0877,1433.42,-1.09,-0.08,794589936000,3.39,29,40,三孚新科,6.2
271,272,北交所概念,BK0925,1694.62,-1.35,-0.08,538747344000,1.45,14,14,用友网络,4.38
272,273,土地流转,BK0632,1557.97,-1.29,-0.08,430117376000,1.13,20,23,海南机场,4.59
273,274,军民融合,BK0808,1393.13,-1.21,-0.09,2846698752000,2.33,73,101,同方股份,9.97
274,275,熔盐储能,BK1103,816.05,-0.71,-0.09,81644343000,1.0,4,4,西子洁能,1.94
275,276,氮化镓,BK0916,1193.33,-1.05,-0.09,932072592000,2.4,16,28,欧陆通,12.44
276,277,碳交易,BK0966,1633.75,-1.44,-0.09,2580863712000,1.02,49,70,东方国信,11.64
277,278,PVDF概念,BK1012,840.67,-0.75,-0.09,264606761000,0.77,7,5,回天新材,1.83
278,279,生态农业,BK0669,1344.79,-1.21,-0.09,271383616000,1.46,14,24,芭田股份,3.56
279,280,氟化工,BK0690,3773.22,-3.44,-0.09,692457536000,0.77,16,13,泛亚微透,4.08
280,281,MSCI中国,BK0821,1256.91,-1.3,-0.1,55456518656000,0.62,243,364,巨人网络,9.98
281,282,光伏建筑一体化,BK0978,1401.8,-1.5,-0.11,1301470704000,1.61,27,31,ST中利,5.01
282,283,新冠检测,BK1062,750.16,-0.96,-0.13,1200760720000,1.33,26,46,兰卫医学,12.9
283,284,辅助生殖,BK0939,1121.39,-1.46,-0.13,577678736000,1.53,13,28,华大基因,6.26
284,285,精准医疗,BK0806,1116.74,-1.46,-0.13,1009554720000,1.55,20,26,华大基因,6.26
285,286,内贸流通,BK1001,1211.06,-1.6,-0.13,1689130288000,1.49,62,102,中兴商业,7.3
286,287,核能核电,BK0577,1716.87,-2.28,-0.13,2443544128000,0.92,47,72,神州泰岳,6.55
287,288,碳化硅,BK0977,1310.66,-1.8,-0.14,676340672000,1.85,13,16,*ST瑞德,2.3
288,289,券商概念,BK0711,882.44,-1.22,-0.14,3183177264000,0.65,14,32,湘财股份,4.31
289,290,节能环保,BK0494,10576.45,-15.28,-0.14,3573011040000,1.38,152,210,同方股份,9.97
290,291,稀土永磁,BK0578,2112.88,-3.11,-0.15,999361248000,0.99,28,27,英威腾,4.84
291,292,湖北自贸,BK0926,1261.09,-1.97,-0.16,325276176000,1.82,11,17,和远气体,3.36
292,293,标准普尔,BK0879,1425.12,-2.28,-0.16,54106803456000,0.81,406,623,三六零,10.03
293,294,冷链物流,BK0852,1546.93,-2.5,-0.16,1501494656000,1.34,42,55,常山北明,9.96
294,295,乡村振兴,BK0834,1416.25,-2.36,-0.17,1096124480000,1.92,34,46,拓尔思,4.93
295,296,磷化工,BK1010,725.49,-1.22,-0.17,612950112000,0.83,14,23,中毅达,4.14
296,297,B股,BK0636,941.55,-1.61,-0.17,480947472000,0.11,31,41,海控B股,4.96
297,298,农业种植,BK0888,1927.7,-3.65,-0.19,893379424000,1.73,25,43,金丹科技,3.06
298,299,破净股,BK1112,1080.48,-2.06,-0.19,17616066048000,0.42,104,185,大悦城,10.08
299,300,复合集流体,BK1113,881.51,-1.69,-0.19,148289496000,1.15,8,10,三孚新科,6.2
300,301,海洋经济,BK0623,2316.2,-4.5,-0.19,678362592000,1.65,10,17,东方国信,11.64
301,302,第三代半导体,BK0952,1336.15,-2.6,-0.19,1293858400000,2.56,20,39,欧陆通,12.44
302,303,长寿药,BK0936,1072.59,-2.11,-0.2,142932899000,1.5,3,9,金达威,2.26
303,304,痘病毒防治,BK1085,979.5,-1.99,-0.2,513601280000,1.4,13,20,普利制药,2.4
304,305,IPO受益,BK0697,2599.2,-5.29,-0.2,2169608192000,0.72,23,32,电广传媒,2.37
305,306,养老金,BK0823,1409.7,-2.92,-0.21,3810644336000,1.05,66,97,智洋创新,13.76
306,307,参股银行,BK0525,9377.85,-19.49,-0.21,9858910464000,0.73,83,138,鸿博股份,10.03
307,308,化妆品概念,BK0974,1055.71,-2.22,-0.21,830995392000,1.69,19,31,百合股份,6.92
308,309,IGBT概念,BK1048,892.45,-1.88,-0.21,1980085008000,1.66,14,20,博敏电子,2.8
309,310,HS300_,BK0500,10278.07,-22.04,-0.21,50115021312000,0.55,114,178,三六零,10.03
310,311,国企改革,BK0683,3731.15,-8.4,-0.22,31409750528000,0.98,398,655,甘咨询,10.04
311,312,盐湖提锂,BK0987,1400.39,-3.65,-0.26,2007294768000,0.86,13,24,*ST博天,4.97
312,313,医疗器械概念,BK0668,3569.13,-9.66,-0.27,4713422592000,1.92,98,172,四川长虹,9.97
313,314,净水概念,BK1068,969.3,-2.77,-0.28,867722096000,0.67,8,7,长虹美菱,2.02
314,315,小金属概念,BK0695,2399.64,-6.99,-0.29,2831402560000,1.01,38,62,光大嘉宝,6.54
315,316,粤港自贸,BK0677,2490.64,-7.29,-0.29,943322560000,1.62,22,43,珠海中富,9.97
316,317,次新股,BK0501,35583.72,-105.34,-0.3,3843147632000,8.07,127,185,智立方,10.11
317,318,培育钻石,BK1023,1027.15,-3.13,-0.3,193891959000,1.6,5,6,豫园股份,4.25
318,319,地热能,BK0622,3100.98,-9.54,-0.31,103276911000,1.64,6,6,长虹华意,1.39
319,320,稀缺资源,BK0519,20549.06,-65.48,-0.32,2825554640000,0.88,30,46,云南锗业,4.11
320,321,超超临界发电,BK1087,1159.81,-3.76,-0.32,619420528000,1.18,11,18,华电重工,5.0
321,322,参股期货,BK0524,25854.05,-85.25,-0.33,2562894496000,0.73,16,28,东方财富,3.53
322,323,注射器概念,BK0973,1264.93,-4.28,-0.34,122462391000,1.92,4,10,新纶新材,5.01
323,324,铁路基建,BK0592,2009.13,-6.84,-0.34,2822603696000,0.98,39,66,华东数控,4.82
324,325,供销社概念,BK1109,1174.77,-4.06,-0.34,131987292000,1.25,4,11,永新股份,0.87
325,326,半导体概念,BK0917,1468.17,-5.18,-0.35,6220582144000,2.47,94,149,景嘉微,11.81
326,327,分拆预期,BK0878,1359.19,-4.8,-0.35,3714320304000,1.23,22,43,深康佳Ａ,5.36
327,328,大飞机,BK0814,1254.22,-4.43,-0.35,1567010160000,1.25,32,47,金财互联,3.46
328,329,基金重仓,BK0536,12346.64,-43.69,-0.35,9828418560000,1.33,66,95,金山办公,8.64
329,330,央视50_,BK0610,2028.6,-7.29,-0.36,13293528064000,0.28,18,32,科大讯飞,5.84
330,331,PPP模式,BK0721,673.02,-2.45,-0.36,2475254016000,1.42,46,103,同方股份,9.97
331,332,尾气治理,BK0932,1384.3,-5.16,-0.37,259215193000,1.63,10,21,东软集团,5.22
332,333,血氧仪,BK1122,948.47,-3.57,-0.37,161494350000,1.98,5,7,华盛昌,2.36
333,334,民爆概念,BK1066,1089.05,-4.13,-0.38,122278601000,1.54,5,8,南岭民爆,1.32
334,335,通用航空,BK0625,4300.98,-16.33,-0.38,1081671488000,0.83,11,27,华夏幸福,2.0
335,336,上证380,BK0705,2394.76,-9.28,-0.39,9117593344000,0.83,121,248,晶丰明源,8.6
336,337,证金持股,BK0718,1153.78,-4.52,-0.39,32428154624000,0.45,70,168,大悦城,10.08
337,338,光伏高速公路,BK1096,1042.24,-4.3,-0.41,85236124000,0.67,2,4,恒华科技,1.18
338,339,粮食概念,BK1086,915.39,-3.83,-0.42,211599632000,1.35,4,16,黑芝麻,1.62
339,340,沪股通,BK0707,2006.51,-8.6,-0.43,53255321088000,0.67,396,745,三六零,10.03
340,341,科创板做市商,BK1107,1116.85,-4.83,-0.43,1455708672000,0.38,4,10,华泰证券,0.32
341,342,上证180_,BK0612,1439.57,-6.33,-0.44,34217539072000,0.47,61,114,三六零,10.03
342,343,生物质能发电,BK1098,905.5,-4.02,-0.44,190999459000,0.75,6,17,九洲集团,1.75
343,344,人造太阳,BK1114,1030.98,-4.7,-0.45,255176219000,0.77,3,9,炬光科技,3.08
344,345,生物疫苗,BK0548,29472.75,-147.01,-0.5,1400885184000,0.92,25,44,康乐卫士,5.41
345,346,体外诊断,BK0841,1423.34,-7.24,-0.51,1217893680000,1.44,21,46,兰卫医学,12.9
346,347,代糖概念,BK0938,929.59,-4.81,-0.51,125125159000,0.91,6,7,晨光生物,2.42
347,348,滨海新区,BK0566,10651.2,-55.27,-0.52,347019760000,1.66,11,11,金开新能,4.72
348,349,工业大麻,BK0856,1569.23,-8.43,-0.53,457142976000,1.43,18,31,*ST大通,5.06
349,350,化工原料,BK0512,22011.12,-118.36,-0.53,1298440544000,0.78,19,41,和远气体,3.36
350,351,病毒防治,BK0675,2745.69,-14.85,-0.54,1924244304000,1.34,38,79,麦克奥迪,12.97
351,352,汽车芯片,BK0969,1098.67,-6.1,-0.55,948592336000,3.51,12,26,软控股份,3.72
352,353,北斗导航,BK0629,4545.83,-25.37,-0.55,921632176000,2.75,28,48,中科星图,5.26
353,354,水利建设,BK0597,1472.23,-8.34,-0.56,2007237888000,1.83,29,66,甘咨询,10.04
354,355,维生素,BK0895,1475.89,-8.37,-0.56,348127504000,0.78,6,18,兴齐眼药,4.73
355,356,上证50_,BK0611,1681.2,-9.59,-0.57,18003161600000,0.25,19,30,国电南瑞,2.26
356,357,一带一路,BK0712,1166.35,-6.86,-0.58,9412636672000,0.83,82,197,常山北明,9.96
357,358,健康中国,BK0719,1191.29,-7.24,-0.6,1781252528000,1.49,35,56,莲花健康,6.49
358,359,债转股,BK0980,912.29,-5.68,-0.62,1080020752000,0.89,18,24,杭齿前进,6.13
359,360,MLCC,BK0890,2411.68,-15.05,-0.62,208543988000,1.25,4,7,风华高科,1.42
360,361,幽门螺杆菌概念,BK1056,924.23,-5.83,-0.63,496017600000,1.81,11,35,兰卫医学,12.9
361,362,统一大市场,BK1077,1002.44,-6.38,-0.63,269436640000,0.96,7,24,南山控股,4.03
362,363,氦气概念,BK0949,1432.2,-9.15,-0.63,110065197000,1.38,3,8,和远气体,3.36
363,364,医疗美容,BK0889,1708.53,-10.95,-0.64,1298829888000,1.22,22,41,豫园股份,4.25
