,股票代码,股票名称,板块名称
657,600426,华鲁恒升,化学制品
658,300019,硅宝科技,化学制品
659,600486,扬农化工,化学制品
660,002734,利民股份,化学制品
661,002810,山东赫达,化学制品
662,002513,蓝丰生化,化学制品
663,600500,中化国际,化学制品
664,000422,湖北宜化,化学制品
665,603260,合盛硅业,化学制品
666,600230,沧州大化,化学制品
667,600873,梅花生物,化学制品
668,600331,宏达股份,化学制品
669,600096,云天化,化学制品
670,600309,万华化学,化学制品
671,600873,梅花生物,化学制品
672,002999,天禾股份,化学制品
673,688269,凯立新材,化学制品
674,002037,保利联合,化学制品
675,002895,川恒股份,化学制品
676,605016,百龙创园,化学制品
677,003002,壶化股份,化学制品
678,300174,元力股份,化学制品
679,605020,永和股份,化学制品
680,002917,金奥博,化学制品
681,300847,中船汉光,化学制品
682,002637,赞宇科技,化学制品
683,600165,宁科生物,化学制品
684,003042,中农联合,化学制品
685,688056,莱伯泰科,仪器仪表
686,833509,同惠电子,仪器仪表
687,300417,南华仪器,仪器仪表
688,300112,万讯自控,仪器仪表
689,300567,精测电子,仪器仪表
690,300306,远方信息,仪器仪表
691,300165,天瑞仪器,仪器仪表
692,688768,容知日新,仪器仪表
693,688665,四方光电,仪器仪表
694,300066,三川智慧,仪器仪表
695,688622,禾信仪器,仪器仪表
696,605056,咸亨国际,仪器仪表
697,300515,三德科技,仪器仪表
698,688115,思林杰,仪器仪表
699,301129,瑞纳智能,仪器仪表
700,688528,秦川物联,仪器仪表
701,300897,山科智能,仪器仪表
702,300341,麦克奥迪,仪器仪表
703,603662,柯力传感,仪器仪表
704,002849,威星智能,仪器仪表
705,301006,迈拓股份,仪器仪表
706,300259,新天科技,仪器仪表
707,300371,汇中股份,仪器仪表
708,002767,先锋电子,仪器仪表
709,832491,奥迪威,仪器仪表
710,300007,汉威科技,仪器仪表
711,603100,川仪股份,仪器仪表
712,300557,理工光科,仪器仪表
713,300445,康斯特,仪器仪表
714,688112,鼎阳科技,仪器仪表
715,688628,优利德,仪器仪表
716,603700,宁水集团,仪器仪表
717,300349,金卡智能,仪器仪表
718,430685,新芝生物,仪器仪表
719,301197,工大科雅,仪器仪表
720,300370,*ST安控,仪器仪表
721,301303,真兰仪表,仪器仪表
722,002058,威尔泰,仪器仪表
723,002819,东方中科,仪器仪表
724,300667,必创科技,仪器仪表
725,002175,东方智造,仪器仪表
726,834407,驰诚股份,仪器仪表
727,830879,基康仪器,仪器仪表
728,300720,海川智能,仪器仪表
729,430476,海能技术,仪器仪表
730,300553,集智股份,仪器仪表
731,688337,普源精电,仪器仪表
732,300203,聚光科技,仪器仪表
733,300354,东华测试,仪器仪表
734,300778,新城市,建筑装饰
735,300989,蕾奥规划,建筑装饰
736,300564,筑博设计,建筑装饰
737,300746,汉嘉设计,建筑装饰
738,603860,中公高科,建筑装饰
739,300500,启迪设计,建筑装饰
740,301027,华蓝集团,建筑装饰
741,300649,杭州园林,建筑装饰
742,301167,建研设计,建筑装饰
743,300732,设研院,建筑装饰
744,300844,山水比德,建筑装饰
745,603007,ST花王,建筑装饰
746,300949,奥雅股份,建筑装饰
747,002781,*ST奇信,建筑装饰
748,300117,嘉寓股份,建筑装饰
749,002564,天沃科技,建筑装饰
750,300977,深圳瑞捷,建筑装饰
751,301136,招标股份,建筑装饰
752,300983,尤安设计,建筑装饰
753,301365,矩阵股份,建筑装饰
754,300826,测绘股份,建筑装饰
755,301024,霍普股份,建筑装饰
756,300675,建科院,建筑装饰
757,300621,维业股份,建筑装饰
758,000065,北方国际,建筑装饰
759,301098,金埔园林,建筑装饰
760,605598,上海港湾,建筑装饰
761,300284,苏交科,建筑装饰
762,605303,园林股份,建筑装饰
763,600853,龙建股份,建筑装饰
764,003013,地铁设计,建筑装饰
765,603017,中衡设计,建筑装饰
766,605178,时空科技,建筑装饰
767,301038,深水规院,建筑装饰
768,002541,鸿路钢构,建筑装饰
769,603357,设计总院,建筑装饰
770,603929,亚翔集成,建筑装饰
