date,open,close,high,low,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-12-23,13.95,14.38,14.47,13.71,71519,101946457.0,5.45,3.08,0.43,2.65
2022-12-26,14.43,14.49,14.75,14.0,70610,101753496.0,5.22,0.76,0.11,2.62
2022-12-27,14.47,14.3,14.65,14.07,38961,55576925.0,4.0,-1.31,-0.19,1.45
2022-12-28,14.16,13.85,14.25,13.68,45718,63481898.0,3.99,-3.15,-0.45,1.7
2022-12-29,13.71,13.75,14.1,13.68,29739,41203159.0,3.03,-0.72,-0.1,1.1
2022-12-30,13.75,13.92,14.03,13.66,25105,34839317.0,2.69,1.24,0.17,0.93
2023-01-03,13.89,15.31,15.31,13.81,92719,137192401.0,10.78,9.99,1.39,3.44
2023-01-04,15.47,15.46,15.68,15.22,97507,150631293.0,3.0,0.98,0.15,3.62
2023-01-05,15.49,15.6,15.7,15.38,82977,129097394.0,2.07,0.91,0.14,3.08
2023-01-06,15.6,15.37,15.7,15.34,48598,75262530.0,2.31,-1.47,-0.23,1.8
2023-01-09,15.39,15.63,15.71,15.3,58220,90477614.0,2.67,1.69,0.26,2.16
2023-01-10,15.64,15.59,15.9,15.27,46313,72059655.0,4.03,-0.26,-0.04,1.72
2023-01-11,15.6,15.17,15.7,15.13,45281,69527161.0,3.66,-2.69,-0.42,1.68
2023-01-12,15.19,15.2,15.52,15.05,36380,55516251.0,3.1,0.2,0.03,1.35
2023-01-13,15.33,15.15,15.48,15.05,25517,38701999.0,2.83,-0.33,-0.05,0.95
2023-01-16,15.11,15.45,15.89,15.11,43997,68560368.0,5.15,1.98,0.3,1.63
2023-01-17,15.47,15.17,15.56,15.09,26477,40472007.0,3.04,-1.81,-0.28,0.98
2023-01-18,15.17,15.36,15.46,15.01,39549,60527778.0,2.97,1.25,0.19,1.47
2023-01-19,15.36,15.79,15.83,15.3,61474,96375641.0,3.45,2.8,0.43,2.28
2023-01-20,15.74,15.87,16.02,15.54,69892,110391458.0,3.04,0.51,0.08,2.59
2023-01-30,16.44,16.03,16.46,15.82,62114,99625749.0,4.03,1.01,0.16,2.3
2023-01-31,16.0,15.7,16.21,15.66,64988,102843399.0,3.43,-2.06,-0.33,2.41
2023-02-01,15.84,16.36,16.4,15.7,83681,135372905.0,4.46,4.2,0.66,3.1
2023-02-02,16.5,16.49,16.94,16.2,90439,150685120.0,4.52,0.79,0.13,3.36
2023-02-03,16.42,16.87,16.9,16.29,113311,188921370.0,3.7,2.3,0.38,4.2
2023-02-06,16.75,17.1,17.3,16.54,131705,223966200.0,4.51,1.36,0.23,4.89
2023-02-07,17.0,17.0,17.27,16.65,108438,183960863.0,3.63,-0.58,-0.1,4.02
2023-02-08,17.0,16.78,17.23,16.69,60712,102306760.0,3.18,-1.29,-0.22,2.25
2023-02-09,16.75,16.82,16.85,16.37,79239,131630171.0,2.86,0.24,0.04,2.94
2023-02-10,16.8,16.55,17.06,16.5,76097,127212888.0,3.33,-1.61,-0.27,2.82
2023-02-13,16.55,16.51,16.69,16.38,58451,96629147.0,1.87,-0.24,-0.04,2.17
2023-02-14,16.59,16.23,16.59,16.12,55019,89578164.0,2.85,-1.7,-0.28,2.04
