日期,板块名称,冰点,沸点,距上次沸点天数,距上次冰点天数
2023-03-02,其他电源设备,False,False,0,0
2023-03-02,其他白色家电,False,False,0,0
2023-03-02,其他种植业,False,False,0,0
2023-03-02,其他纤维,False,False,0,0
2023-03-02,其他纺织,False,False,0,0
2023-03-02,其他自动化设备,False,False,0,0
2023-03-02,其他通信设备,False,False,1,0
2023-03-02,其他通用设备,False,False,0,0
2023-03-02,其他酒类,False,False,0,0
2023-03-02,其他金属新材料,False,False,0,0
2023-03-02,其他食品,False,False,0,0
2023-03-02,其他黑色家电,False,False,1,0
2023-03-02,军工电子,False,False,0,0
2023-03-02,农业综合,True,False,0,-1
2023-03-02,农商行,False,False,0,0
2023-03-02,农用机械,False,False,0,0
2023-03-02,农药,False,False,0,0
2023-03-02,冰洗,True,False,0,-1
2023-03-02,冶钢原料,False,False,0,0
2023-03-02,出版,False,False,1,0
2023-03-02,分立器件,True,False,0,-1
2023-03-02,制冷空调设备,False,False,0,0
2023-03-02,动物保健,False,False,0,0
2023-03-02,包装,False,False,0,0
2023-03-02,化妆品,False,False,0,0
2023-03-02,化学制剂,False,False,0,0
2023-03-02,化学制药,False,False,0,1
2023-03-02,医疗研发外包,False,False,0,0
2023-03-02,医疗美容,True,False,0,-1
2023-03-02,医疗耗材,False,False,0,0
2023-03-02,医疗设备,False,False,0,0
2023-03-02,医药商业,False,False,0,0
2023-03-02,半导体材料,False,False,0,0
2023-03-02,半导体设备,False,False,0,0
2023-03-02,印制电路板,False,False,0,0
2023-03-02,印刷,False,False,0,0
2023-03-02,印刷包装机械,False,False,0,0
2023-03-02,印染,False,False,0,0
2023-03-02,原料药,False,False,0,0
2023-03-02,合成树脂,False,False,0,0
2023-03-02,品牌消费电子,False,False,0,0
2023-03-02,商业地产,False,False,0,0
2023-03-02,商业物业经营,False,False,0,0
2023-03-02,商用载客车,True,False,0,-1
2023-03-02,商用载货车,False,False,0,0
2023-03-02,啤酒,False,False,0,0
2023-03-02,固废治理,False,False,0,0
2023-03-02,国有大型银行,False,False,0,0
2023-03-02,地面兵装,False,False,0,0
2023-03-02,城商行,False,False,0,0
2023-03-02,基础建设,False,False,0,0
2023-03-02,复合肥,False,False,0,0
2023-03-02,多元金融,False,False,0,0
2023-03-02,大气治理,False,False,0,0
2023-03-02,家具,False,False,0,0
2023-03-02,家纺,False,False,0,1
2023-03-02,小家电,False,False,0,0
2023-03-02,小家电Ⅲ,False,False,0,0
2023-03-02,工控设备,False,False,0,0
2023-03-02,工程咨询服务,False,False,0,0
2023-03-02,工程机械,False,False,0,0
2023-03-02,广告营销,False,False,0,0
2023-03-02,建筑装饰,True,False,1,-1
2023-03-02,彩电,True,False,0,-1
2023-03-02,影视院线,False,False,0,0
2023-03-02,房地产服务,False,False,0,0
2023-03-02,房屋建设,False,False,0,0
2023-03-02,改性塑料,False,False,0,0
2023-03-02,教育,False,True,-1,0
2023-03-02,数字媒体,False,False,0,0
2023-03-02,文娱用品,False,False,0,0
2023-03-02,新能源发电,False,False,0,0
2023-03-02,旅游综合,False,False,0,0
2023-03-02,旅游零售,True,False,0,-1
2023-03-02,无机盐,False,False,0,0
2023-03-02,普钢,False,False,0,0
2023-03-02,有机硅,False,False,0,0
2023-03-02,有线电视网络,False,False,0,0
2023-03-02,服装,False,False,0,0
2023-03-02,机器人,False,False,0,0
2023-03-02,机场,False,False,0,0
2023-03-02,机床工具,False,False,0,0
2023-03-02,林业,False,False,0,0
2023-03-02,果蔬加工,False,False,1,0
2023-03-02,棉纺,False,False,0,0
2023-03-02,楼宇设备,False,False,0,0
2023-03-02,民爆用品,False,False,0,0
2023-03-02,氟化工,False,False,0,0
2023-03-02,氨纶,False,False,0,0
2023-03-02,氮肥,False,False,0,0
2023-03-02,氯碱,False,False,0,0
2023-03-02,水产养殖,False,False,0,0
2023-03-02,水务及水治理,False,False,0,0
2023-03-02,水泥,False,False,0,0
2023-03-02,水电,False,False,0,0
2023-03-02,汽车服务,False,False,0,0
2023-03-02,汽车服务Ⅲ,False,False,0,0
2023-03-02,汽车零部件,False,False,0,0
2023-03-02,油品石化贸易,False,False,0,0
2023-03-02,油服工程,False,False,0,0
2023-03-02,油气开采,False,False,0,0
2023-03-02,海洋捕捞,False,False,0,0
2023-03-02,涂料油墨,False,False,0,0
2023-03-02,消费电子零部件及组装,False,False,0,0
2023-03-02,涤纶,False,False,0,0
2023-03-02,港口,False,False,0,0
2023-03-02,游戏,False,False,1,0
2023-03-02,激光设备,False,False,0,0
2023-03-02,火电,False,False,0,0
2023-03-02,炭黑,False,False,0,0
2023-03-02,热力,False,False,0,0
2023-03-02,焦炭加工,False,False,0,0
2023-03-02,煤炭开采,False,False,0,0
2023-03-02,燃气,False,False,0,0
2023-03-02,燃气Ⅲ,False,False,0,0
2023-03-02,物流,False,False,0,0
2023-03-02,特钢,False,False,0,0
2023-03-02,环保设备,False,False,0,0
2023-03-02,玻璃玻纤,False,False,0,0
2023-03-02,瓷砖地板,False,False,1,0
2023-03-02,电子化学品,False,False,0,0
2023-03-02,电机,False,False,0,0
2023-03-02,电气自控设备,False,False,0,0
2023-03-02,电池,False,False,0,0
2023-03-02,电能综合服务,False,False,0,0
2023-03-02,畜禽养殖,False,False,0,0
2023-03-02,疫苗,False,False,0,0
2023-03-02,白酒,False,False,0,0
2023-03-02,百货零售,False,False,0,0
2023-03-02,石油加工,False,False,0,0
2023-03-02,磁性材料,False,False,0,0
2023-03-02,磨具磨料,False,False,0,0
2023-03-02,磷肥及磷化工,False,False,0,0
2023-03-02,种子生产,False,False,0,0
2023-03-02,稀土,True,False,1,-1
2023-03-02,空调,False,True,-1,0
2023-03-02,管材,False,False,0,0
2023-03-02,粘胶,True,False,1,-1
2023-03-02,粮油加工,False,False,0,0
2023-03-02,粮食种植,False,True,-1,0
2023-03-02,纯碱,False,False,1,0
2023-03-02,纺织化学用品,False,False,0,0
2023-03-02,纺织服装设备,False,False,0,0
2023-03-02,线缆部件及其他,False,False,0,0
2023-03-02,综合,False,False,0,0
2023-03-02,综合环境治理,False,False,0,0
2023-03-02,耐火材料,False,False,0,0
2023-03-02,聚氨酯,False,False,0,0
2023-03-02,肉制品,False,False,0,0
2023-03-02,股份制银行,False,False,1,0
2023-03-02,能源及重型设备,False,False,0,0
2023-03-02,能源金属,False,False,0,0
2023-03-02,膜材料,False,False,0,0
2023-03-02,自然景点,False,False,0,0
2023-03-02,航天装备,False,False,0,0
2023-03-02,航海装备,False,False,0,0
2023-03-02,航空装备,False,False,0,0
2023-03-02,航空运输,False,False,0,0
2023-03-02,航运,False,False,0,0
2023-03-02,血液制品,True,False,0,-1
2023-03-02,被动元件,False,False,0,0
2023-03-02,装饰园林,False,False,0,0
2023-03-02,计算机设备,False,False,0,0
2023-03-02,证券,False,False,0,0
2023-03-02,调味发酵品,False,False,0,0
2023-03-02,贵金属,True,False,1,-1
2023-03-02,贵金属Ⅲ,False,False,0,0
2023-03-02,贸易,False,False,0,0
2023-03-02,轨交设备,False,False,0,0
2023-03-02,软件开发,False,False,0,0
2023-03-02,软饮料,False,False,0,0
2023-03-02,辅料,False,False,0,0
2023-03-02,输变电设备,False,False,0,0
2023-03-02,通信服务,False,False,0,0
2023-03-02,通信服务Ⅲ,False,False,1,0
2023-03-02,通信线缆及配套,False,False,0,0
2023-03-02,通信终端及配件,False,False,0,0
2023-03-02,通信网络设备及器件,False,False,0,0
2023-03-02,造纸,False,False,0,0
2023-03-02,酒店,False,False,0,0
2023-03-02,金属制品,False,False,0,0
2023-03-02,钛白粉,False,False,1,0
2023-03-02,钾肥,False,False,0,0
2023-03-02,铁路运输,False,False,1,0
2023-03-02,铅锌,False,False,0,0
2023-03-02,铜,False,False,0,0
2023-03-02,铝,False,False,0,0
2023-03-02,集成电路制造,False,True,-1,0
2023-03-02,集成电路封测,True,False,0,-1
2023-03-02,集成电路设计,False,False,0,0
2023-03-02,非金属材料,False,False,0,0
2023-03-02,非金属材料Ⅲ,False,False,0,0
2023-03-02,面板,False,False,0,0
2023-03-02,鞋帽及其他,False,False,0,0
2023-03-02,风电设备,False,False,0,0
2023-03-02,食品及饲料添加剂,False,False,0,0
2023-03-02,餐饮,False,True,-1,0
2023-03-02,饰品,False,False,0,0
2023-03-02,饲料,False,False,0,0
2023-03-02,高速公路,False,True,-1,0
2023-03-03,IT服务,False,False,0,0
2023-03-03,LED,False,False,0,0
2023-03-03,专业工程,False,False,0,0
2023-03-03,专业服务,False,False,0,0
2023-03-03,专业连锁,False,False,0,0
2023-03-03,个护用品,False,False,0,0
2023-03-03,中药,False,False,0,0
2023-03-03,乘用车,False,False,0,0
2023-03-03,乳品,False,False,0,0
2023-03-03,互联网电商,False,False,0,0
2023-03-03,产业地产,False,False,0,0
2023-03-03,人工景点,False,False,0,0
2023-03-03,仪器仪表,False,False,0,0
2023-03-03,休闲食品,False,False,0,0
2023-03-03,住宅开发,False,False,0,0
2023-03-03,体外诊断,False,False,0,0
2023-03-03,体育,False,True,-1,0
2023-03-03,保险,False,False,2,0
2023-03-03,光伏设备,False,False,0,0
2023-03-03,光学元件,False,False,0,0
2023-03-03,公交,False,False,0,0
2023-03-03,其他专用设备,False,False,0,0
2023-03-03,其他交运设备,False,False,0,0
2023-03-03,其他传媒,False,False,0,0
2023-03-03,其他农产品加工,False,False,0,0
2023-03-03,其他化学制品,False,False,0,0
2023-03-03,其他化学原料,False,False,0,0
2023-03-03,其他医疗服务,False,False,0,0
2023-03-03,其他塑料制品,False,False,0,0
2023-03-03,其他家用轻工,False,False,0,0
2023-03-03,其他小金属,False,False,0,0
2023-03-03,其他建材,False,False,0,0
2023-03-03,其他橡胶制品,False,False,0,0
2023-03-03,其他生物制品,False,False,0,0
2023-03-03,其他电子,False,False,0,0
2023-03-03,其他电源设备,False,False,0,0
2023-03-03,其他白色家电,False,False,0,0
2023-03-03,其他种植业,False,False,0,0
2023-03-03,其他纤维,False,False,0,0
2023-03-03,其他纺织,False,False,0,0
2023-03-03,其他自动化设备,False,False,0,0
2023-03-03,其他通信设备,False,False,2,0
2023-03-03,其他通用设备,False,False,0,0
2023-03-03,其他酒类,False,False,0,0
2023-03-03,其他金属新材料,False,False,0,0
2023-03-03,其他食品,False,False,0,0
2023-03-03,其他黑色家电,False,False,2,0
2023-03-03,军工电子,False,False,0,0
2023-03-03,农业综合,False,False,0,1
2023-03-03,农商行,False,False,0,0
2023-03-03,农用机械,False,False,0,0
2023-03-03,农药,False,False,0,0
2023-03-03,冰洗,False,False,0,1
2023-03-03,冶钢原料,False,False,0,0
2023-03-03,出版,False,False,2,0
2023-03-03,分立器件,False,True,-1,1
2023-03-03,制冷空调设备,False,False,0,0
2023-03-03,动物保健,False,False,0,0
2023-03-03,包装,False,False,0,0
2023-03-03,化妆品,False,False,0,0
2023-03-03,化学制剂,False,False,0,0
2023-03-03,化学制药,False,False,0,2
