代码,总股本
688203,202678068.0
605339,427976616.0
605189,124800051.0
605166,315553230.0
605099,401703500.0
603978,165951873.0
603937,208880000.0
603929,213360000.0
603458,313804147.0
603338,506347879.0
603282,133820000.0
603227,966567854.0
603225,1529469839.0
603058,419081442.0
601699,2991409200.0
601059,3243000000.0
600732,1302116033.0
600523,404311320.0
600515,11425309602.0
600470,521600000.0
600416,1325406445.0
600372,1917798835.0
600261,1414659630.0
600237,564369565.0
301302,105470000.0
301258,91670000.0
301235,105600000.0
301180,400010000.0
301177,400010000.0
301161,120000000.0
301150,101020762.0
301090,1479416553.0
301067,54020000.0
301048,533333400.0
301041,106680000.0
301022,64000000.0
300998,106400000.0
300996,141964567.0
300991,144000000.0
300960,102385812.0
300955,100800000.0
300911,107398200.0
300894,405000000.0
300889,156000000.0
300880,193196160.0
300855,302010000.0
300770,231058146.0
300730,240419437.0
300623,736525851.0
300530,158139450.0
300514,200000000.0
300504,272566880.0
300476,862688641.0
300413,1870720815.0
300397,517636745.0
300363,546027420.0
300355,1604242081.0
300294,504248738.0
300266,1553807314.0
300212,665814309.0
300177,744169066.0
300168,1443191991.0
300079,1429008862.0
003031,209066666.0
003027,132419000.0
002971,160000000.0
002939,4034426956.0
002932,156193021.0
002929,232127370.0
002915,327957575.0
002792,402056966.0
002779,132000000.0
002767,150000000.0
002683,748760423.0
002641,1235153866.0
002637,470401000.0
002606,439391220.0
002567,1381343588.0
002548,806103205.0
002497,1152562520.0
002494,377310718.0
002480,769168670.0
002466,1477099383.0
002438,507537461.0
002426,3441517719.0
002389,996985000.0
002357,313489036.0
002272,438260000.0
002256,1882411872.0
002246,549034794.0
002167,775134000.0
002149,488214274.0
002124,1839192626.0
002122,1990899926.0
002114,323395267.0
002105,368500000.0
002092,2600819517.0
002090,404264936.0
002061,1856527072.0
002055,604490017.0
002035,847653618.0
000999,988346000.0
000955,538395000.0
000926,949322474.0
000912,1568000000.0
000752,263758491.0
000735,1151513578.0
000688,1117647825.0
000635,304610502.0
000603,689969346.0
000576,442861324.0
000571,814064000.0
000543,2266863331.0
000423,654021537.0
000038,522777419.0
000035,2523777297.0
000027,4757389916.0
000021,1560587588.0
000019,1100785974.0
688001,440591727.0
605567,200000000.0
605500,296000000.0
605338,248000000.0
605098,118078600.0
605016,177520000.0
603706,189382714.0
603421,652190511.0
603327,521300000.0
603113,855086679.0
603090,100000000.0
603038,206674697.0
601636,2683499506.0
601086,666000000.0
600967,1704251817.0
600935,3507401812.0
600850,685074346.0
600794,1212152157.0
600658,1118585045.0
600647,139143550.0
600575,3886261065.0
600488,1096362680.0
600435,1489320000.0
600397,989959882.0
600355,492089200.0
600302,346009804.0
600206,846553332.0
301419,100000000.0
301367,64000000.0
301333,60000000.0
301312,41717762.0
301311,240000000.0
301308,412864254.0
301279,100000000.0
301265,302973182.0
301175,1471880000.0
301158,150370510.0
301153,108000000.0
301137,181813400.0
301123,233600000.0
301122,94035122.0
301099,80000000.0
301097,58947368.0
301089,126000000.0
301079,83893334.0
301076,103480000.0
301068,84000000.0
301062,400391800.0
301056,266786667.0
301045,103154344.0
301031,66277427.0
301028,378912000.0
301023,56000250.0
301007,153340000.0
300997,450000000.0
300987,173368000.0
300985,133333400.0
300979,1167000000.0
300971,84000000.0
300962,264001897.0
300951,120672000.0
300950,150000000.0
300941,204750000.0
300933,458507718.0
300927,144360000.0
300896,216360000.0
300884,252000000.0
300860,137331308.0
300818,70001544.0
300817,145532160.0
300814,175796000.0
300810,118050000.0
300786,184015879.0
300782,533757954.0
300777,439574787.0
300763,396688445.0
300743,138369482.0
300737,1180878627.0
