日期,板块名称,涨的数量,跌的数量,涨幅比,涨跌幅,总市值,总市值亿元,跌停,跌<-5%,-3%<-5%,-3<-1%,平盘,<3%,3-5%,5%-涨停,涨停
2023-03-01,股份制银行,1,0,100.0,0.77,80936798150.58,809.37,0,0,0,0,0,1,0,0,0
2023-03-01,能源金属,1,0,100.0,0.3,94724846926.32,947.25,0,0,0,0,0,1,0,0,0
2023-03-01,航天装备,1,0,100.0,6.19,57600000000.0,576.00,0,0,0,0,0,0,0,1,0
2023-03-01,航海装备,1,0,100.0,1.08,85507632465.0,855.08,0,0,0,0,0,1,0,0,0
2023-03-01,航空装备,1,0,100.0,0.42,73410120473.69,734.10,0,0,0,0,0,1,0,0,0
2023-03-01,航空运输,1,0,100.0,1.33,57288084189.63,572.88,0,0,0,0,0,1,0,0,0
2023-03-01,航运,2,0,100.0,4.445,144756894721.39,1447.57,0,0,0,0,0,1,0,1,0
2023-03-01,被动元件,1,0,100.0,0.82,61557895556.52,615.58,0,0,0,0,0,1,0,0,0
2023-03-01,计算机应用,11,1,91.66666666666666,3.6658333333333335,831915439658.17,8319.15,0,0,0,1,0,4,4,2,1
2023-03-01,计算机设备,2,1,66.66666666666666,5.003333333333334,188597888854.56,1885.98,0,0,0,1,0,0,0,2,0
2023-03-01,证券,12,0,100.0,1.5591666666666668,906045656856.51,9060.46,0,0,0,0,0,12,0,0,0
2023-03-01,软件开发,8,1,88.88888888888889,3.42,625263535329.8501,6252.64,0,0,0,1,0,4,2,1,1
2023-03-01,软饮料,1,0,100.0,0.5,82402060000.0,824.02,0,0,0,0,0,1,0,0,0
2023-03-01,输变电设备,2,0,100.0,0.5650000000000001,148752910688.82,1487.53,0,0,0,0,0,2,0,0,0
2023-03-01,通信服务,1,0,100.0,4.98,76383189226.87,763.83,0,0,0,0,0,0,1,0,0
2023-03-01,通信线缆及配套,0,0,,0.0,54811971411.119995,548.12,0,0,0,0,1,0,0,0,0
2023-03-01,通信终端及配件,1,0,100.0,3.45,62166915158.25,621.67,0,0,0,0,0,0,1,0,0
2023-03-01,通信设备,1,0,100.0,1.725,116978886569.37,1169.79,0,0,0,0,1,0,1,0,0
2023-03-01,酒店,1,0,100.0,1.45,57493371562.7,574.93,0,0,0,0,0,1,0,0,0
2023-03-01,酒店及餐饮,1,0,100.0,1.45,57493371562.7,574.93,0,0,0,0,0,1,0,0,0
2023-03-01,钛白粉,1,0,100.0,1.28,53037323230.64,530.37,0,0,0,0,0,1,0,0,0
2023-03-01,钢铁,1,0,100.0,0.98,94361017581.35999,943.61,0,0,0,0,0,1,0,0,0
2023-03-01,银行,5,1,83.33333333333334,0.47285714285714286,495413432462.83,4954.13,0,0,0,1,1,5,0,0,0
2023-03-01,集成电路制造,2,0,100.0,0.7849999999999999,154196492001.99,1541.96,0,0,0,0,0,2,0,0,0
2023-03-01,集成电路封测,1,0,100.0,3.7,51927356540.0,519.27,0,0,0,0,0,0,1,0,0
2023-03-01,集成电路设计,2,3,40.0,0.09200000000000001,349095495902.08,3490.95,0,0,0,3,0,2,0,0,0
2023-03-01,面板,1,0,100.0,0.9,62857278046.08001,628.57,0,0,0,0,0,1,0,0,0
2023-03-01,风电设备,1,0,100.0,0.08,57733697789.46,577.34,0,0,0,0,1,0,0,0,0
