日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,股票代码
2023-04-03,12.9,0.78,-1584935.0,-4.71,-1706097.0,-5.07,121162.0,0.36,2176913.0,6.47,-591978.0,-1.76,300483
2023-04-03,9.44,2.05,33373434.0,3.5,50172729.0,5.27,-16799295.0,-1.76,-11471216.0,-1.2,-21902226.0,-2.3,600256
2023-04-03,19.09,3.02,13649535.0,9.29,9032862.0,6.15,4616673.0,3.14,-2855323.0,-1.94,-10794212.0,-7.35,300191
2023-04-03,3.45,4.55,59915264.0,14.29,79262998.0,18.91,-19347734.0,-4.62,-20772317.0,-4.96,-39142945.0,-9.34,600968
2023-04-03,2.28,1.79,-2536839.0,-7.93,-482872.0,-1.51,-2053967.0,-6.42,3448591.0,10.78,-911752.0,-2.85,600759
2023-04-03,23.25,0.65,4755230.0,4.86,-233488.0,-0.24,4988718.0,5.1,655304.0,0.67,-5410535.0,-5.53,603393
2023-04-03,12.94,1.25,-2725082.0,-4.23,-2470018.0,-3.84,-255064.0,-0.4,-531454.0,-0.83,3256536.0,5.06,603727
2023-04-03,8.06,1.13,-1714004.0,-2.56,-3572796.0,-5.34,1858792.0,2.78,558626.0,0.84,1155377.0,1.73,000968
2023-04-03,3.79,1.07,-31433136.0,-6.69,-35255255.0,-7.5,3822119.0,0.81,-2478696.0,-0.53,33911832.0,7.21,600339
2023-04-03,3.88,1.84,1841447.0,2.75,0.0,0.0,1841447.0,2.75,1938953.0,2.89,-3780400.0,-5.64,002629
2023-04-03,3.92,2.62,-6497596.0,-6.37,-4852589.0,-4.76,-1645007.0,-1.61,869808.0,0.85,5627788.0,5.52,002554
2023-04-03,7.03,2.78,4042888.0,6.09,1152783.0,1.74,2890105.0,4.36,-3741407.0,-5.64,-301481.0,-0.45,002207
2023-04-03,2.55,1.59,2505499.0,0.64,-11622199.0,-2.97,14127698.0,3.61,3129073.0,0.8,-5634573.0,-1.44,600777
2023-04-03,9.19,0.55,-4743478.0,-5.41,705211.0,0.8,-5448689.0,-6.22,-1954936.0,-2.23,6698415.0,7.64,002828
2023-04-03,17.01,4.55,54371205.0,14.22,60947767.0,15.94,-6576562.0,-1.72,-34190446.0,-8.94,-20180759.0,-5.28,603619
2023-04-03,14.97,2.67,19705030.0,7.35,8524139.0,3.18,11180891.0,4.17,7603921.0,2.84,-27308951.0,-10.19,601808
2023-04-03,2.14,1.9,3379122.0,1.39,-1199974.0,-0.49,4579096.0,1.88,6268647.0,2.58,-9647771.0,-3.97,600871
2023-04-03,20.03,9.99,11747479.0,3.06,14085732.0,3.67,-2338253.0,-0.61,-12611003.0,-3.29,863525.0,0.23,001366
2023-04-03,2.43,0.41,-1570494.0,-2.52,-1919453.0,-3.07,348959.0,0.56,1161461.0,1.86,409033.0,0.66,600811
2023-04-03,3.98,0.0,-2108369.0,-5.58,0.0,0.0,-2108369.0,-5.58,921537.0,2.44,1186832.0,3.14,300175
2023-04-03,8.29,1.34,-2802080.0,-3.41,-5711799.0,-6.94,2909719.0,3.54,659370.0,0.8,2142710.0,2.6,000505
2023-04-03,9.01,0.0,-8969276.0,-23.26,-3997628.0,-10.37,-4971648.0,-12.9,2960409.0,7.68,6008868.0,15.59,002286
