总市值,流通市值,行业,上市时间,股票代码,股票简称,总股本,流通股
5160797141.04,5148659561.04,石油行业,19961008,600759,ST洲际,2263507518.0,2258184018.0
9635731762.710001,8549388576.26,燃气,20160912,603393,新天然气,423921327.0,376127962.0
3662350601.0,3662350601.0,采掘行业,20161122,603727,博迈科,281719277.0,281719277.0
7778721386.4,7778721386.4,燃气,20000622,000968,蓝焰控股,967502660.0,967502660.0
20769308592.120003,20769308592.120003,采掘行业,20001225,600339,中油工程,5583147471.0,5583147471.0
1746592000.0,1378379232.0,采掘行业,20111103,002629,仁智股份,436648000.0,344594808.0
5171933844.48,3278800892.16,采掘行业,20110225,002554,惠博普,1346857772.0,853854399.0
1855352076.24,1844947641.0,采掘行业,20080128,002207,准油股份,262055378.0,260585825.0
17273259395.5,16170027073.14,石油行业,19961121,600777,新潮能源,6800495825.0,6366152391.0
1839036540.0,1379799970.65,采掘行业,20161208,002828,贝肯能源,200987600.0,150797811.0
6608001652.0,6608001652.0,采掘行业,20171117,603619,中曼石油,400000100.0,400000100.0
71144436720.0,44140577880.0,采掘行业,20070928,601808,中海油服,4771592000.0,2960468000.0
40056957469.63,28631388742.609997,采掘行业,19950411,600871,石化油服,18984340033.0,13569378551.0
2712278400.0,681108000.0,农牧饲渔,20230307,001366,播恩集团,160680000.0,40350000.0
9111285330.150002,9111285330.150002,农牧饲渔,19940106,600811,东方集团,3659150735.0,3659150735.0
1916156000.0000002,1916156000.0000002,食品饮料,20110215,300175,朗源股份,470800000.0,470800000.0
5910105540.63,5047228909.320001,农牧饲渔,19921221,000505,京粮控股,726950251.0,620815364.0
3275671649.0,3257649736.8,食品饮料,20090828,002286,保龄宝,371812900.0,369767280.0
3000293122.31,3000293122.31,食品饮料,20000926,000972,ST中基,771283579.0,771283579.0
6582565066.349999,6565595776.349999,农牧饲渔,20030609,600251,冠农股份,779001783.0,776993583.0
3180240000.0,795060000.0,农牧饲渔,20221019,603151,邦基科技,168000000.0,42000000.0
618609472.0,294886053.02000004,农牧饲渔,20150519,832419,路斯股份,103446400.0,49312049.0
1109560560.0,684723726.0,食品饮料,20150213,832023,田野股份,327304000.0,201983400.0
4877552456.8,4877552456.8,农牧饲渔,19980506,600127,金健米业,641783218.0,641783218.0
97427096227.65,97357333694.84999,农牧饲渔,20091127,002311,海大集团,1661161061.0,1659971589.0
4429792175.400001,2861948921.4,农牧饲渔,20170711,300673,佩蒂股份,253420605.0,163727055.0
16191081085.960001,16191081085.960001,食品饮料,19960731,600737,中粮糖业,2138848228.0,2138848228.0
2623482120.0,2623482120.0,食品饮料,19981210,600191,华资实业,484932000.0,484932000.0
6552000000.0,2038851369.36,农牧饲渔,20220216,001313,粤海饲料,700000000.0,217826001.0
4018802890.29,3943208196.4700003,食品饮料,20120316,002661,克明食品,337998561.0,331640723.0
4538361044.15,3067437973.7799997,农牧饲渔,20110218,002548,金新农,806103205.0,544838006.0
9227645524.12,7397791906.08,农牧饲渔,20101105,300138,晨光生物,532773991.0,427124244.0
58589702743.95,58123544216.56,农牧饲渔,19980311,000876,新 希 望,4538319345.0,4502211016.0
729331652.8,155421740.6,食品饮料,20170125,839371,欧福蛋业,205445536.0,43780772.0
7254135420.0,6465269328.0,食品饮料,20100921,002481,双塔食品,1233696500.0,1099535600.0
2825323500.0000005,706373800.0000001,食品饮料,20220909,603182,嘉华股份,164550000.0,41140000.0
2452696108.2,2428123131.72,农牧饲渔,20120905,002696,百洋股份,349386910.0,345886486.0
7082233767.839999,7082011629.839999,农牧饲渔,20170821,002891,中宠股份,294112698.0,294103473.0
3000907167.12,3000907167.12,农牧饲渔,20161124,603336,宏辉果蔬,438729118.0,438729118.0
16302491229.04,16225232801.66,农牧饲渔,19990712,000930,中粮科技,1865273596.0,1856433959.0
10757336265.0,10757336265.0,农牧饲渔,20140808,603609,禾丰股份,919430450.0,919430450.0
7074109310.719999,7074109310.719999,农牧饲渔,20170117,603668,天马科技,436134976.0,436134976.0
4333130000.0,3523728292.4500003,食品饮料,20170310,002852,道道全,359000000.0,291941035.0
3246593723.9799995,2628296399.0699997,食品饮料,19990527,000911,南宁糖业,400319818.0,324080937.0
9058927096.44,3271212779.52,贸易行业,19921012,000019,深粮控股,1152535254.0,416184832.0
3360318000.0,2576916011.49,农牧饲渔,20110927,300268,佳沃食品,174200000.0,133588181.0
236760902377.12,23697398725.99,食品饮料,20201015,300999,金龙鱼,5421591536.0,542647097.0
32753268057.23,26059265325.24,农牧饲渔,20100409,002385,大北农,4140741853.0,3294470964.0
8991016545.28,2247754127.36,酿酒行业,20221116,001338,永顺泰,501730834.0,125432708.0
1610472839.04,1610472839.04,农牧饲渔,19970318,000702,正虹科技,266634576.0,266634576.0
10354904757.5,10354904757.5,房地产开发,19941101,000048,京基智农,523239250.0,523239250.0
11268101936.0,11267710737.92,农牧饲渔,20061226,002100,天康生物,1354339175.0,1354292156.0
10143332958.88,8854609045.369999,农牧饲渔,20110325,002567,唐人神,1387596848.0,1211300827.0
3173155400.0,1280200238.75,食品饮料,20210106,003030,祖名股份,124780000.0,50342125.0
10548515068.42,8801544100.58,农牧饲渔,20170926,603363,傲农生物,871058222.0,726799678.0
9043603285.080002,9043603285.080002,化肥行业,20170628,603938,三孚股份,273303212.0,273303212.0
22045403760.0,21955406462.4,化学原料,19971017,000818,航锦科技,679156000.0,676383440.0
1841400000.0,1301066949.6000001,化学原料,20201026,003017,大洋生物,60000000.0,42393840.0
11679639757.6,7573383757.599999,化学原料,19921113,600618,氯碱化工,1156399976.0,749839976.0
2485879200.0,1473098469.36,化学原料,20210107,300927,江天化学,144360000.0,85545788.0
4191518100.0000005,1678857590.25,化学原料,20210929,001217,华尔泰,331870000.0,132926175.0
4233600000.0,1201284000.0,化学原料,20220322,301256,华融化学,480000000.0,136200000.0
13645349851.28,13645349851.28,化学原料,20030618,600409,三友化工,2064349448.0,2064349448.0
11046509193.15,11046501012.15,化学原料,20000706,000990,诚志股份,1215237535.0,1215236635.0
8447803043.96,5757038000.0,化学制品,20150515,603227,雪峰科技,966567854.0,658700000.0
4451331588.0,4451331588.0,化学原料,20010320,600367,红星发展,293236600.0,293236600.0
3370772000.0,1665289980.0,化学原料,20211118,301118,恒光股份,106670000.0,52699050.0
4568000000.0,2634822400.0,化学原料,20200917,300891,惠云钛业,400000000.0,230720000.0
5882849430.0,5863937130.55,化学原料,20100520,300082,奥克股份,680098200.0,677911807.0
7009152605.82,6923393045.82,化学原料,20160913,603067,振华股份,509016166.0,502788166.0
25626194205.3,15274238854.32,化学原料,20070803,002145,中核钛白,3871026315.0,2307286836.0
12206972800.0,4075568800.0,化学原料,20210927,301069,凯盛新材,420640000.0,140440000.0
2763484789.96,2763484789.96,化学原料,20030717,600423,柳化股份,798695026.0,798695026.0
7258065972.3,7255782398.150001,化学原料,20100409,002386,天原股份,1015114122.0,1014794741.0
37211656689.9,37211656689.9,化学原料,20110222,601216,君正集团,8438017390.0,8438017390.0
15327345918.44,8105044348.88,化学原料,20211126,600935,华塑股份,3507401812.0,1854701224.0
6300252000.0,2257465391.37,化学原料,20211111,603213,镇洋发展,434800000.0,155794713.0
3453915836.0,3448910836.0,化学原料,19931215,000545,金浦钛业,986833096.0,985403096.0
3415204773.5199995,3415204773.5199995,化学原料,19960626,600722,金牛化工,680319676.0,680319676.0
3059737962.3999996,2476419208.3399997,化学原料,19940311,600844,丹化科技,1016524240.0,822730634.0
34044530464.0,30802200101.2,化学原料,19970131,000683,远兴能源,3621758560.0,3276829798.0
3126390800.0,3114511038.3999996,化学原料,20070530,002136,安 纳 达,215020000.0,214202960.0
3850031845.28,3592763782.2400002,化学原料,19930507,000510,新金路,609182254.0,568475282.0
14856203698.06,12979511438.109999,化学原料,19921204,600623,华谊集团,2131449598.0,1862196763.0
2361150148.56,1921967460.0,化学原料,20010326,600319,亚星化学,387709384.0,315594000.0
1567859500.0,1567859500.0,化学制品,19970228,000691,亚太实业,323270000.0,323270000.0
26126790509.71,19926484524.57,化学原料,19980807,000830,鲁西化工,1919676011.0,1464106137.0
7733200925.5199995,7616552935.599999,化肥行业,20080925,002274,华昌化工,952364646.0,937999130.0
2676000000.0,2676000000.0,化学原料,20150319,002748,世龙实业,240000000.0,240000000.0
8111505971.53,7986132671.53,化学原料,20151231,603299,苏盐井神,782208869.0,770118869.0
2789546322.64,2789546322.64,化学原料,19960606,600714,金瑞矿业,288176273.0,288176273.0
8585604082.0,8511429971.0,化学原料,20040625,002002,鸿达兴业,3122037848.0,3095065444.0
9766091169.119999,7257440750.559999,化学原料,19970617,600075,新疆天业,1707358596.0,1268783348.0
9763166510.24,3545948649.3199997,化学原料,19960918,600746,江苏索普,1167842884.0,424156537.0
5380547871.79,5380547871.79,化学原料,20070126,002109,兴化股份,1052944789.0,1052944789.0
23197777788.16,14867348717.6,化学原料,20201020,601568,北元集团,3972222224.0,2545778890.0
108020392800.0,108020392800.0,化学原料,20190516,600989,宝丰能源,7333360000.0,7333360000.0
11972781578.8,8641701815.039999,化学原料,20180326,600929,雪天盐业,1474480490.0,1064248992.0
4009971053.3999996,3823363846.02,化学原料,20100908,002469,三维化学,648862630.0,618667289.0
12199000000.0,8093482000.0,化学原料,20210915,600955,维远股份,550000000.0,364900000.0
18699892327.23,18518124935.460003,化学原料,20061208,002092,中泰化学,2600819517.0,2575538934.0
46966354280.399994,32397242125.8,化学原料,20110715,002601,龙佰集团,2390145256.0,1648714612.0
805109280.0,496685021.8,化学制品,20140217,430489,佳先股份,136459200.0,84183902.0
11771967498.72,11771967498.72,化学原料,20100223,601678,滨化股份,2058036276.0,2058036276.0
4483648089.9,4483648089.9,化学原料,19970415,000707,双环科技,464145765.0,464145765.0
17002992151.25,8399770416.2,化学原料,20001222,600328,中盐化工,1132777625.0,559611620.0
7017520699.84,7017520699.84,化学原料,19980703,000822,山东海化,895091926.0,895091926.0
10017536568.320002,9272123201.28,化学原料,20060627,002053,云南能投,920729464.0,852217206.0
3015643969.8,3000567259.8,化学原料,19961120,000635,英 力 特,304610502.0,303087602.0
16454777932.8,6891651456.0,化学原料,19920805,600610,中毅达,1071274605.0,448675225.0
15275069212.26,15275069212.26,化学原料,20000725,600277,亿利洁能,3560622194.0,3560622194.0
4587207881.7,4549171381.7,有色金属,20001122,600255,鑫科材料,1805987355.0,1791012355.0
3419744592.2400002,3419719284.2400002,小金属,19961112,000633,合金投资,385106373.0,385103523.0
9326413601.73,9323868847.14,通用设备,20000529,000969,安泰科技,1026008097.0,1025728146.0
2742479999.9999995,1181580367.5,有色金属,20210409,300963,中洲特材,156000000.0,67211625.0
5832145800.0,3327164398.08,有色金属,20220316,688102,斯瑞新材,400010000.0,228200576.0
5318989085.6,3759729664.4,小金属,20101013,300127,银河磁体,323146360.0,228416140.0
2002371000.0,2002371000.0,有色金属,20180517,603045,福达合金,137620000.0,137620000.0
3355546872.06,3355546872.06,有色金属,20170807,603978,深圳新星,165951873.0,165951873.0
24250452370.120003,20420088020.2,小金属,20180921,300748,金力永磁,837956198.0,705600830.0
11001320024.390001,9782334700.69,小金属,20001030,600366,宁波韵升,1112368051.0,989113721.0
2700000000.0,796500000.0,有色金属,20210121,300930,屹通新材,100000000.0,29500000.0
16205624554.09,16205624554.09,小金属,20000420,000970,中科三环,1215725773.0,1215725773.0
4289128160.0000005,2641024008.0,有色金属,20210826,688786,悦安新材,85440800.0,52610040.0
10277313446.68,10197362624.119999,小金属,20110531,300224,正海磁材,820216556.0,813835804.0
9408000000.0,4321094400.0,小金属,20211126,688190,云路股份,120000000.0,55116000.0
3810298260.0,2125055670.0,小金属,20200722,688077,大地熊,80778000.0,45051000.0
12741801900.0,7106984606.25,有色金属,20200723,300855,图南股份,302010000.0,168451875.0
2537788029.0,1234947570.45,专用设备,20140924,831152,昆工科技,108591700.0,52843285.0
12482710557.6,11702256838.6,有色金属,20110127,601137,博威合金,790044972.0,740649167.0
10738062460.72,8426786968.599999,小金属,20191230,300811,铂科新材,109886026.0,86234005.0
7641030854.22,7641030854.22,小金属,19970808,000795,英洛华,1133684103.0,1133684103.0
8121811203.2,7984209203.2,专业服务,20060802,002057,中钢天源,759047776.0,746187776.0
4451149950.0,2537744418.2999997,小金属,20200525,300835,龙磁科技,120139000.0,68495126.0
32534241480.0,32080406200.0,小金属,20060802,002056,横店东磁,1626712074.0,1604020310.0
16268520379.32,14684520379.32,钢铁行业,19980115,000761,本钢板材,4108212217.0,3708212217.0
10994382828.0,10994382828.0,钢铁行业,20070227,601003,柳钢股份,2562793200.0,2562793200.0
2635733345.1,658898045.0999999,汽车零部件,20220606,301160,翔楼新材,74666667.0,18665667.0
18623800000.0,5383722977.099999,钢铁行业,20210510,001203,大中矿业,1508000000.0,435928986.0
6987779987.650001,6987779987.650001,钢铁行业,20000511,600231,凌钢股份,2852155097.0,2852155097.0
23550647662.02,17063662049.16,钢铁行业,20000919,600282,南钢股份,6165091011.0,4466927238.0
