code,side
605162,1
601598,1
688109,1
601929,1
600329,1
688062,1
600063,1
603706,1
688510,1
600518,1
603917,1
605298,1
688410,1
603778,1
688511,1
688299,1
600758,1
603936,1
603333,1
600203,1
688280,1
600649,1
601066,1
600319,1
688609,1
600712,1
600480,1
600958,1
603096,1
600010,1
605258,1
603602,1
600229,1
600360,1
600213,1
603819,1
600653,1
600582,1
601828,1
600030,1
600905,1
600321,1
603286,1
688391,1
600630,1
601158,1
600025,1
600048,1
605567,1
603617,1
600428,1
600743,1
600195,1
603213,1
600858,1
603338,1
600568,1
605488,1
688057,1
600500,1
605500,1
600824,1
600999,1
601555,1
600486,1
603090,1
603950,1
600741,1
600605,1
600221,1
600595,1
600783,1
601198,1
603818,1
603538,1
601166,1
600331,1
600271,1
601958,1
601880,1
688129,1
688133,1
603650,1
688589,1
603869,1
600838,1
688006,1
600067,1
600906,1
601002,1
688283,1
603080,1
600380,1
688098,1
601518,1
600968,1
600967,1
600854,1
688682,1
600022,1
605122,1
603380,1
603693,1
603022,1
601818,1
603880,1
603585,1
600866,1
600513,1
688722,1
603217,1
603556,1
600814,1
600109,1
600039,1
600845,1
601326,1
600681,1
600393,1
600692,1
600606,1
600130,1
603519,1
605228,1
603856,1
600898,1
601162,1
600433,1
603218,1
688246,1
603031,1
603616,1
603630,1
600038,1
600982,1
600233,1
600036,1
600868,1
601139,1
600096,1
600116,1
600620,1
600237,1
601366,1
600919,1
605268,1
688237,1
600545,1
600519,1
600170,1
688009,1
601997,1
600208,1
600159,1
603020,1
688286,1
601918,1
600740,1
603901,1
601688,1
600665,1
600617,1
600262,1
601236,1
601901,1
603053,1
688115,1
688185,1
689009,1
600751,1
601985,1
603927,1
600220,1
688670,1
603590,1
688456,1
601860,1
601099,1
688538,1
688067,1
601107,1
600135,1
605336,1
601016,1
600408,1
601992,1
688788,1
605369,1
688499,1
688683,1
605296,1
600072,1
600618,1
600340,1
605255,1
601225,1
603551,1
601375,1
600575,1
688386,1
605136,1
600804,1
600352,1
600470,1
600051,1
601298,1
601018,1
600462,1
603227,1
600812,1
688066,1
600927,1
688558,1
688196,1
603729,1
603321,1
600546,1
600035,1
603883,1
600683,1
688567,1
603817,1
605198,1
600909,1
688550,1
600644,1
688238,1
603018,1
603659,1
601696,1
600463,1
688247,1
688180,1
603959,1
603183,1
601330,1
600903,1
600258,1
600928,1
600807,1
600805,1
600774,1
603668,1
601011,1
600585,1
600881,1
603600,1
603017,1
600266,1
600662,1
600790,1
688690,1
600576,1
603037,1
688055,1
603237,1
603416,1
600155,1
605180,1
600089,1
600802,1
688122,1
605009,1
601179,1
600860,1
688348,1
603696,1
601118,1
600971,1
600893,1
603458,1
603108,1
600917,1
600674,1
603181,1
603535,1
600827,1
600886,1
600148,1
601258,1
600508,1
688557,1
603823,1
600488,1
600119,1
600867,1
603983,1
600979,1
600739,1
600083,1
688779,1
600127,1
688358,1
600383,1
600717,1
688799,1
688051,1
600448,1
601156,1
688169,1
600215,1
600094,1
603991,1
600284,1
600778,1
600793,1
603667,1
600668,1
603198,1
688400,1
600527,1
603939,1
600410,1
600882,1
600496,1
600629,1
600505,1
600803,1
605339,1
600702,1
603890,1
601900,1
603895,1
600288,1
605128,1
600322,1
600520,1
688357,1
688369,1
688679,1
605033,1
600565,1
600017,1
600265,1
601577,1
688363,1
601975,1
688166,1
688216,1
688177,1
600657,1
603300,1
603816,1
600684,1
603258,1
600885,1
688167,1
600276,1
688425,1
601857,1
603215,1
600755,1
601989,1
600794,1
600716,1
601838,1
601519,1
600306,1
600250,1
605011,1
600918,1
600626,1
603811,1
601788,1
688349,1
603721,1
688143,1
688426,1
601108,1
603800,1
600382,1
603303,1
603739,1
600908,1
600503,1
601878,1
603718,1
