date,code,open,high,low,close,preclose,volume,amount,pctChg
2021-04-02,sh.000001,3472.6276,3487.5862,3462.8321,3484.3924,3466.3315,26265487300,317953200767.5000,0.521038
2021-04-06,sh.000001,3491.6336,3493.2806,3471.7610,3482.9674,3484.3924,23474667100,286329672740.3000,-0.040897
2021-04-07,sh.000001,3483.4211,3483.4211,3453.1947,3479.6256,3482.9674,29578697800,323650987028.2000,-0.095947
2021-04-08,sh.000001,3467.4871,3495.9086,3459.3246,3482.5548,3479.6256,33175532900,348011326769.4000,0.084181
2021-04-09,sh.000001,3475.4434,3475.4467,3442.1392,3450.6772,3482.5548,28008519600,306422226254.5000,-0.915351
2021-04-12,sh.000001,3445.9696,3456.1581,3403.9012,3412.9477,3450.6772,30957723900,338890339564.4000,-1.093394
2021-04-13,sh.000001,3411.2928,3425.3945,3387.9020,3396.4700,3412.9477,27062605400,290539879926.0000,-0.482800
2021-04-14,sh.000001,3397.0210,3420.0278,3392.9751,3416.7212,3396.4700,23324232700,269010070613.9000,0.596243
2021-04-15,sh.000001,3409.6139,3409.6139,3373.0939,3398.9875,3416.7212,23400505400,272569196767.4000,-0.519027
2021-04-16,sh.000001,3407.1880,3432.6286,3394.1344,3426.6178,3398.9875,25857967200,295951094704.6000,0.812898
2021-04-19,sh.000001,3427.5480,3479.0099,3414.3564,3477.5485,3426.6178,30273581900,368472467524.5000,1.486326
2021-04-20,sh.000001,3467.1481,3494.2983,3463.4637,3472.9427,3477.5485,28530008200,358982768197.6000,-0.132444
2021-04-21,sh.000001,3456.2991,3481.2511,3450.1113,3472.9298,3472.9427,25377785900,323914146231.9000,-0.000371
2021-04-22,sh.000001,3482.8328,3485.3585,3456.3156,3465.1138,3472.9298,25111451000,317081034873.3000,-0.225055
2021-04-23,sh.000001,3462.0858,3482.3587,3456.3329,3474.1660,3465.1138,24936043300,323015935279.5000,0.261238
2021-04-26,sh.000001,3484.1072,3497.1208,3438.5724,3441.1658,3474.1660,27697077100,388161675553.7000,-0.949874
2021-04-27,sh.000001,3440.0911,3443.8538,3417.2647,3442.6111,3441.1658,25303239300,327046020017.7000,0.042000
2021-04-28,sh.000001,3432.1612,3457.0683,3423.3250,3457.0683,3442.6111,24738112000,349669207298.3000,0.419949
2021-04-29,sh.000001,3458.0819,3478.2278,3447.5878,3474.9011,3457.0683,27663138700,371611589910.9000,0.515836
2021-04-30,sh.000001,3468.3022,3469.0872,3426.9023,3446.8564,3474.9011,31266035400,401442334677.1000,-0.807065
2021-05-06,sh.000001,3446.0743,3471.2396,3426.8487,3441.2826,3446.8564,31042419200,400525169566.4000,-0.161707
2021-05-07,sh.000001,3446.4070,3457.8924,3416.7755,3418.8741,3441.2826,35378538900,411078841642.7000,-0.651167
2021-05-10,sh.000001,3423.5896,3429.7359,3401.9346,3427.9909,3418.8741,37417088400,399717549009.4000,0.266661
2021-05-11,sh.000001,3406.5980,3448.0959,3384.6966,3441.8454,3427.9909,35093411200,390326273819.7000,0.404158
2021-05-12,sh.000001,3429.7544,3466.3708,3428.3944,3462.7513,3441.8454,31144454700,343860406432.6000,0.607404
2021-05-13,sh.000001,3432.1380,3448.0169,3418.3846,3429.5361,3462.7513,31932532700,356376917818.6000,-0.959214
2021-05-14,sh.000001,3436.0919,3490.6437,3422.5649,3490.3762,3429.5361,33698230900,411116942849.1000,1.774004
2021-05-17,sh.000001,3490.4091,3530.5055,3490.1438,3517.6158,3490.3762,32213596900,424476783398.0000,0.780420
2021-05-18,sh.000001,3520.6488,3529.0144,3510.8620,3529.0144,3517.6158,27130855800,336028774653.5000,0.324043
2021-05-19,sh.000001,3521.1097,3521.1097,3503.8151,3510.9647,3529.0144,27832111700,349973152293.4000,-0.511466
2021-05-20,sh.000001,3500.8773,3517.7399,3486.0662,3506.9444,3510.9647,32600933300,390355321486.4000,-0.114507
2021-05-21,sh.000001,3510.8353,3518.3769,3479.6744,3486.5569,3506.9444,28382628500,356025931292.5000,-0.581347
2021-05-24,sh.000001,3486.2711,3498.3037,3469.8746,3497.2821,3486.5569,28950924200,367181627934.0000,0.307616
2021-05-25,sh.000001,3502.5390,3584.5774,3502.4429,3581.3418,3497.2821,34124112700,472213531433.2000,2.403572
2021-05-26,sh.000001,3586.8388,3603.4881,3585.3695,3593.3570,3581.3418,34198028800,455831256660.6000,0.335494
2021-05-27,sh.000001,3585.7337,3626.3584,3579.2601,3608.8507,3593.3570,30955148600,429004239270.6000,0.431176
2021-05-28,sh.000001,3610.7668,3622.1801,3582.3580,3600.7844,3608.8507,34920883000,452445031965.2000,-0.223514
2021-05-31,sh.000001,3600.0702,3615.6568,3580.6524,3615.4773,3600.7844,33152377000,449694380975.5000,0.408047
2021-06-01,sh.000001,3608.5978,3626.0737,3581.9115,3624.7138,3615.4773,35281141300,471663104796.7000,0.255471
2021-06-02,sh.000001,3626.3283,3629.2896,3584.5955,3597.1379,3624.7138,34855842000,454678066375.6000,-0.760775
2021-06-03,sh.000001,3595.4215,3618.5067,3584.2054,3584.2121,3597.1379,35423303100,443506527329.2000,-0.359336
2021-06-04,sh.000001,3565.4716,3618.8001,3561.8907,3591.8447,3584.2121,33089303800,435280519932.9000,0.212951
2021-06-07,sh.000001,3597.1413,3600.3759,3581.8988,3599.5410,3591.8447,30371867700,432219952222.2000,0.214272
2021-06-08,sh.000001,3598.7527,3621.5227,3563.2503,3580.1063,3599.5410,30449147000,443161808007.8000,-0.539922
2021-06-09,sh.000001,3576.8015,3598.7082,3572.6364,3591.3965,3580.1063,29832329600,403236322753.9000,0.315359
2021-06-10,sh.000001,3587.5282,3624.3433,3584.1332,3610.8590,3591.3965,31817480800,442117285383.9000,0.541920
2021-06-11,sh.000001,3614.1134,3614.4038,3587.1491,3589.7481,3610.8590,36055497000,495372693064.5000,-0.584650
2021-06-15,sh.000001,3587.4658,3592.9465,3547.1870,3556.5590,3589.7481,34916856600,444719204218.3000,-0.924552
2021-06-16,sh.000001,3556.7139,3561.0921,3513.5592,3518.3292,3556.5590,31259730600,410609314681.0000,-1.074910
2021-06-17,sh.000001,3508.3170,3534.1976,3507.3535,3525.6042,3518.3292,27722991800,388761041679.4000,0.206774
2021-06-18,sh.000001,3520.4966,3535.6221,3503.1833,3525.0968,3525.6042,29670858500,446297401403.1000,-0.014392
2021-06-21,sh.000001,3515.5006,3540.2959,3504.0075,3529.1826,3525.0968,28089827700,426562789148.1000,0.115906
2021-06-22,sh.000001,3539.7876,3560.1946,3536.8120,3557.4120,3529.1826,30753639900,437092259173.4000,0.799885
2021-06-23,sh.000001,3559.3988,3577.4661,3549.8482,3566.2199,3557.4120,31070951800,470347635637.0000,0.247593
2021-06-24,sh.000001,3568.5758,3570.4874,3548.8161,3566.6539,3566.2199,33544075400,461273595569.7000,0.012170
2021-06-25,sh.000001,3567.3772,3614.2981,3564.5199,3607.5618,3566.6539,34608783200,483898970868.6000,1.146955
2021-06-28,sh.000001,3612.2469,3614.3574,3594.2174,3606.3722,3607.5618,32127497400,456029594401.3000,-0.032975
2021-06-29,sh.000001,3601.6772,3601.8265,3570.5253,3573.1779,3606.3722,30607117800,440898705225.1000,-0.920435
2021-06-30,sh.000001,3572.6236,3594.1185,3569.5010,3591.1970,3573.1779,26816281800,414698378933.5000,0.504288
2021-07-01,sh.000001,3600.5464,3607.7049,3573.9374,3588.7816,3591.1970,29188319200,450639036987.4000,-0.067259
